车辆	出发地	目的地	出发时间		行程时间(分)	余票数	票价	车辆座位数
K2170	西藏	南宁	2022/11/23-12:00	450		9	120	19
D8343	成都	重庆	2022/12/11-17:00	400		10	80	19
U1524	成都	南宁	2022/11/13-15:30	630		8	40	49
G9999	珠海	东莞	2022/11/29-17:30	693		12	40	49
D1521	桂林	深圳	2022/11/23-12:10	499		16	40	19
U7832	重庆	深圳	2022/11/27-17:10	239		16	40	19
J5678	重庆	成都	2022/11/22-17:10	446		17	40	19
T6656	广州	深圳	2022/11/31-22:30	130		19	40	19
G2412	吉林	宜宾	2022/11/26-19:30	155		22	40	49
U9031	达州	南宁	2022/11/18-16:10	730		48	40	49
D9893	西藏	南宁	2022/11/27-14:30	940		10	20	19
B4325	深圳	重庆	2022/11/15-22:10	172		18	20	49
A3432	杭州	上海	2022/11/13-20:30	886		18	20	49
J6767	重庆	广州	2022/11/25-22:10	615		18	20	49
A4399	南宁	达州	2022/11/30-22:30	196		19	20	19
C5690	玉林	杭州	2022/11/23-22:30	328		12	20	49
V8312	成都	上海	2022/11/19-23:10	704		17	20	19
D8763	北京	自贡	2022/11/17-12:30	161		22	20	19
C9231	杭州	玉林	2022/11/11-10:30	690		29	20	49
G2367	广州	成都	2022/11/15-23:10	791		17	20	19
